2023-02-24 12:57:19,631 p=28216 u=rob n=ansible | PLAY [Automatic VyOS Lab test] **********************************************************************************************************************************
2023-02-24 12:57:23,684 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,687 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: delete iso] **************************************************************************************************************
2023-02-24 12:57:23,703 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,710 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,717 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,719 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,724 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,727 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: commit virtioa.qcow2] ****************************************************************************************************
2023-02-24 12:57:23,748 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,754 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,757 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,757 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,762 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,765 p=28216 u=rob n=ansible | TASK [eve-ng-create-node : L3VPN_EVPN: delete lab for node install] *********************************************************************************************
2023-02-24 12:57:23,780 p=28216 u=rob n=ansible | skipping: [eveng]
2023-02-24 12:57:23,787 p=28216 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 12:57:23,795 p=28216 u=rob n=ansible | skipping: [PE1]
2023-02-24 12:57:23,797 p=28216 u=rob n=ansible | skipping: [PE2]
2023-02-24 12:57:23,801 p=28216 u=rob n=ansible | skipping: [PE3]
2023-02-24 12:57:23,811 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : Get env file content] *******************************************************************************************************************
2023-02-24 12:57:24,030 p=28216 u=rob n=ansible | ok: [PE2 -> localhost]
2023-02-24 12:57:24,031 p=28216 u=rob n=ansible | ok: [PE1 -> localhost]
2023-02-24 12:57:24,031 p=28216 u=rob n=ansible | ok: [PE3 -> localhost]
2023-02-24 12:57:24,031 p=28216 u=rob n=ansible | ok: [eveng -> localhost]
2023-02-24 12:57:24,031 p=28216 u=rob n=ansible | ok: [vyos-oobm -> localhost]
2023-02-24 12:57:24,034 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: Load facts] *****************************************************************************************************************
2023-02-24 12:57:24,061 p=28216 u=rob n=ansible | ok: [eveng]
2023-02-24 12:57:24,062 p=28216 u=rob n=ansible | ok: [vyos-oobm]
2023-02-24 12:57:25,031 p=28216 u=rob n=ansible | network_os is set to vyos
2023-02-24 12:57:25,032 p=28216 u=rob n=ansible | network_os is set to vyos
2023-02-24 12:57:25,033 p=28216 u=rob n=ansible | [WARNING]: ansible-pylibssh not installed, falling back to paramiko

2023-02-24 12:57:25,038 p=28216 u=rob n=ansible | [WARNING]: ansible-pylibssh not installed, falling back to paramiko

2023-02-24 12:57:25,038 p=28216 u=rob n=ansible | ok: [PE2]
2023-02-24 12:57:25,042 p=28216 u=rob n=ansible | network_os is set to vyos
2023-02-24 12:57:25,042 p=28216 u=rob n=ansible | ok: [PE1]
2023-02-24 12:57:25,042 p=28216 u=rob n=ansible | [WARNING]: ansible-pylibssh not installed, falling back to paramiko

2023-02-24 12:57:25,045 p=28216 u=rob n=ansible | ok: [PE3]
2023-02-24 12:57:25,051 p=28216 u=rob n=ansible | TASK [eve-ng-lab-test : L3VPN_EVPN: fail if node_template_version is empty] *************************************************************************************
2023-02-24 12:57:25,071 p=28216 u=rob n=ansible | skipping: [eveng]
