2023-02-24 13:05:57,233 p=29738 u=rob n=ansible | PLAY [Automatic VyOS Lab test] **********************************************************************************************************************************
2023-02-24 13:06:56,863 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:56,866 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:56,873 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:57,278 p=29738 u=rob n=ansible | ok: [eveng]
2023-02-24 13:06:57,286 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: start all nodes] *************************************************************************************************
2023-02-24 13:06:57,316 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:06:57,324 p=29738 u=rob n=ansible | skipping: [dhcp-relay]
2023-02-24 13:06:57,327 p=29738 u=rob n=ansible | skipping: [dhcp-server]
2023-02-24 13:06:57,334 p=29738 u=rob n=ansible | skipping: [transport]
2023-02-24 13:06:58,237 p=29738 u=rob n=ansible | ok: [eveng] => (item=2)
2023-02-24 13:06:59,391 p=29738 u=rob n=ansible | ok: [eveng] => (item=3)
2023-02-24 13:07:00,715 p=29738 u=rob n=ansible | ok: [eveng] => (item=4)
2023-02-24 13:07:01,291 p=29738 u=rob n=ansible | ok: [eveng] => (item=1)
2023-02-24 13:07:02,195 p=29738 u=rob n=ansible | ok: [eveng] => (item=5)
2023-02-24 13:07:02,208 p=29738 u=rob n=ansible | TASK [eve-ng-lab-test : DHCPRelay_through_GRE: Wait for vyos nodes] *********************************************************************************************
2023-02-24 13:07:02,234 p=29738 u=rob n=ansible | skipping: [eveng]
2023-02-24 13:07:02,243 p=29738 u=rob n=ansible | skipping: [vyos-oobm]
2023-02-24 13:07:03,181 p=29738 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use ansible.utils.display.Display.verbosity instead. This feature will be removed in version 2.18. 
Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-02-24 13:07:03,197 p=29738 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use ansible.utils.display.Display.verbosity instead. This feature will be removed in version 2.18. 
Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-02-24 13:07:03,200 p=29738 u=rob n=ansible | [DEPRECATION WARNING]: PlayContext.verbosity is deprecated, use ansible.utils.display.Display.verbosity instead. This feature will be removed in version 2.18. 
Deprecation warnings can be disabled by setting deprecation_warnings=False in ansible.cfg.
2023-02-24 13:07:33,227 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | Exception (client): Error reading SSH protocol banner
2023-02-24 13:07:33,231 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | Traceback (most recent call last):
2023-02-24 13:07:33,231 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/transport.py", line 2268, in _check_banner
2023-02-24 13:07:33,231 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |     buf = self.packetizer.readline(timeout)
2023-02-24 13:07:33,231 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 374, in readline
2023-02-24 13:07:33,231 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |     buf += self._read_timeout(timeout)
2023-02-24 13:07:33,231 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |   File "/Users/rob/.local/share/virtualenvs/vyos-eveng-b9X2mBdh/lib/python3.9/site-packages/paramiko/packet.py", line 611, in _read_timeout
2023-02-24 13:07:33,232 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] |     raise socket.timeout()
2023-02-24 13:07:33,232 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | socket.timeout
2023-02-24 13:07:33,232 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | 
2023-02-24 13:07:33,232 p=30228 u=rob n=p=30228 u=rob | paramiko [dhcp-relay] | During handling of the above exception, another exception occurred:
